amount,details,expenseDate,card,requiredType,occurance,category,frequency
14820,Melody,2020-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Yearly,Yearly
10000,Pinky,2020-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Yearly,Yearly
434,APOLLO HOSPITALS ENTER BANGALORE IN (Medical),2020-01-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
399,KISHAN HEALTHY FARM BANGALORE IN (Grocery),2020-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
250,SUBRAHMANYA ACHARYA BANGALORE IN (Medical),2020-01-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
3000,LOTUS HOSPITAL BANGALORE IN(Medical),2020-01-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
459,WWW OLACABS COM GURGAON IN (Local Transport),2020-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Local Transport,Monthly
1380,BESCOM - AlA/C NO. 8426519000 (Bills),2020-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
6441,DMART AVENUE SUPERMART BANGALORE IN (Grocery),2020-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
239,KFC RESTAURANTS BANGALORE IN (Hotel),2020-01-01T11:08:39.000+00:00,Zing Credit Card,Nice,Recursive,Hotel,Monthly
799,LIFE STYLE INTERNATION BANGALORE IN (Clothing),2020-01-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Clothing,Monthly
590,VILLAGE HYPER BAZAAR BANGALORE IN  (Grocery),2020-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
359,WWW OLACABS COM GURGAON IN (Local Transport),2020-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Local Transport,Monthly
455,KISHAN HEALTHY FARM BANGALORE IN (Grocery),2020-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
338,HALL OF MEAT PRIVATE L BANGALORE IN (Grocery),2020-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
474,KISHAN HEALTHY FARM BANGALORE IN (Grocery),2020-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
591,Grocery,2020-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
3173,Birthday Party,2020-01-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
469,Amazon,2020-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Nice,One Time,Grocery,Monthly
545,Amazon,2020-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Nice,One Time,Grocery,Monthly
1518,SRI RAJA RAJESHWARI FIL BENGALURU IN (Local Transport),2020-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Local Transport,Monthly
198,KFC RESTAURANTS BANGALORE IN (Hotel),2020-01-01T11:08:39.000+00:00,Zing Credit Card,Nice,Recursive,Hotel,Monthly
548,KISHAN HEALTHY FARM BANGALORE IN (Grocery),2020-01-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
210,Amazon,2020-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Nice,One Time,Grocery,Monthly
589,Airtel,2020-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
5000,Home Expense,2020-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
288,Swiggy,2020-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Nice,One Time,Hotel,Monthly
1620,Milk refill,2020-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
1600,Stuti VAN,2020-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Local Transport,Monthly
334,Cable TV,2020-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
1000,Jacket for Stuti,2020-01-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Clothing,Monthly
350,Amazon,2020-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Nice,One Time,Grocery,Monthly
717,Pinky Purchase,2020-01-01T11:08:39.000+00:00,Pinky Canara Debit Card,Must,One Time,Clothing,Monthly
1004,Birthday Gift,2020-01-01T11:08:39.000+00:00,Pinky Canara Debit Card,Must,One Time,Gift,Monthly
2000,Transfer to Kundagol,2020-01-01T11:08:39.000+00:00,Pinky HDFC Debit Card,Must,One Time,Donation,Monthly
2895,Birthday Gift,2020-01-01T11:08:39.000+00:00,Pinky HDFC Debit Card,Must,One Time,Gift,Monthly
908,Health & Glow,2020-01-01T11:08:39.000+00:00,Pinky HDFC Debit Card,Must,One Time,Clothing,Monthly
6000,Home Expense,2020-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
1200,Office Expense,2020-01-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Hotel,Monthly
307154,Deeksha (College),2020-02-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,One Time,Yearly,Yearly
1600,Stuti VAN,2020-02-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Local Transport,Monthly
10000,Home Expense,2020-01-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,One Time,Regular Expenses,Monthly
6000,Home Expense,2020-02-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
531,Vegetables (Grocery),2020-02-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
670,OLA Cabs,2020-02-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Local Transport,Monthly
340,ATO*R R VATIKABANGALOREIN (Hotel Dinner),2020-02-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
573,Swiggy,2020-02-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
5000,Home Expense,2020-02-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
1473,Bus booking to BGK,2020-02-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Travel,Monthly
1410,BESCOM,2020-02-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
334,ATRIA CONVERGENCE TECHMUMBAIIN (Cable),2020-02-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
244,Amazon,2020-02-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Clothing,Monthly
4000,Tailor expenses,2020-02-01T11:08:39.000+00:00,Pinky Canara Debit Card,Must,One Time,Clothing,Monthly
710,Pinky Gift,2020-02-01T11:08:39.000+00:00,Pinky Canara Debit Card,Must,One Time,Gift,Monthly
1500,SRI RAJA RAJESHWARI FILBENGALURUIN (Petrol),2020-02-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Local Transport,Monthly
5956,DMART AVENUE (Grocery),2020-02-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
2000,Cash for regular use,2020-02-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
1710,Monthly milk,2020-02-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
1677,VILLAGE HYPER (Grocery),2020-02-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
360,GANESH MEDICALS,2020-02-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
589,Airtel,2020-02-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
419,Vegetables (Grocery),2020-02-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
